# BUSCO version is: 5.7.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2024-01-08, number of genomes: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
494at4751	Fragmented	NW_013524653.1	21014	25417	+	835.6	1214	https://v10-1.orthodb.org/?query=494at4751	Midasin
771at4751	Complete	NW_013524649.1	139679	129957	-	984.4	2170	https://v10-1.orthodb.org/?query=771at4751	PIK-related kinase
1866at4751	Missing
3534at4751	Missing
4409at4751	Missing
4466at4751	Missing
4523at4751	Complete	NW_013524653.1	91216	85715	-	956.7	1725	https://v10-1.orthodb.org/?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Missing
6186at4751	Fragmented	NW_013524648.1	395674	395156	-	55.3	142	https://v10-1.orthodb.org/?query=6186at4751	U3 small nucleolar RNA-associated protein 10
6272at4751	Missing
6377at4751	Missing
6592at4751	Missing
6812at4751	Complete	NW_013524649.1	331470	337175	+	1350.1	1340	https://v10-1.orthodb.org/?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	NW_013524646.1	511225	506510	-	327.7	1153	https://v10-1.orthodb.org/?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Missing
8406at4751	Fragmented	NW_013524651.1	245304	243613	-	174.0	460	https://v10-1.orthodb.org/?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Missing
10168at4751	Missing
10531at4751	Missing
11140at4751	Missing
11636at4751	Missing
11879at4751	Missing
12258at4751	Missing
12812at4751	Fragmented	NW_013524646.1	530872	534156	+	75.1	237	https://v10-1.orthodb.org/?query=12812at4751	WD40/YVTN repeat-like-containing domain superfamily
12959at4751	Missing
13224at4751	Fragmented	NW_013524646.1	693525	691186	-	87.0	343	https://v10-1.orthodb.org/?query=13224at4751	Nucleoporin, Nup133/Nup155-like, C-terminal
13605at4751	Missing
14295at4751	Missing
14441at4751	Missing
